1,46449,6623,Comisión de Estudios Legislativos y Reglamentos
2,46438,6621,Comisión de Hacienda y Presupuestos
3,46437,6620,"Comisión de Educación, Cultura y Deporte"
4,46436,6619,Comisión de Seguridad y Justicia
5,46434,6618,Comisión de Hacienda y Presupuestos
6,46423,6615,"Comisión de Educación, Cultura y Deporte"
7,46420,6613,Comisión de Hacienda y Presupuestos
8,46417,6611,Comisión de Puntos Constitucionales y Electorales
9,46414,6608,Comisión de Desarrollo Productivo y Regional
10,46412,6606,"Comisión de Higiene, Salud Pública y Prevención de las Adicciones"
11,46398,6600,Comisión de Puntos Constitucionales y Electorales
12,46381,6595,Comisión de Estudios Legislativos y Reglamentos
13,46381,6595,"Comisión de Asistencia Social, Familia y Niñez"
14,46380,6594,Comisión de Hacienda y Presupuestos
15,46380,6594,"Comisión de Asistencia Social, Familia y Niñez"
16,46379,6593,"Comisión de Asistencia Social, Familia y Niñez"
17,46378,6592,"Comisión de Asistencia Social, Familia y Niñez"
18,46378,6592,"Comisión de Planeación, Ordenamiento Territorial y de la Gestión del Agua"
19,46377,6591,"Comisión de Asistencia Social, Familia y Niñez"
20,46377,6591,"Comisión de Educación, Cultura y Deporte"
21,46369,6587,Comisión de Hacienda y Presupuestos
22,46369,6587,"Comisión de Planeación, Ordenamiento Territorial y de la Gestión del Agua"
23,46365,6584,Comisión de Seguridad y Justicia
24,46355,6581,Comisión de Gobernación y Fortalecimiento Municipal
25,46321,6569,"Comisión de Educación, Cultura y Deporte"
26,46320,6568,Comisión de Hacienda y Presupuestos
27,33956,6528,Comisión de Derechos Humanos y Pueblos Originarios
28,45672,6220,Comisión de Estudios Legislativos y Reglamentos
29,45672,6220,"Comisión de Competitividad, Desarrollo Económico, Innovación y Trabajo"
30,45643,6209,"Comisión de Educación, Cultura y Deporte"
31,45643,6209,Comisión de Estudios Legislativos y Reglamentos
32,45641,6207,Comisión de Estudios Legislativos y Reglamentos
33,45634,6201,Comisión de Estudios Legislativos y Reglamentos
34,45634,6201,"Comisión de Asistencia Social, Familia y Niñez"
35,45633,6200,Comisión de Hacienda y Presupuestos
36,45570,6148,Comisión de Hacienda y Presupuestos
37,45568,6146,Comisión de Estudios Legislativos y Reglamentos
